"U:0","U:1","U:2","p","vtkValidPointMask","arc_length"
30.385,0,-0.00091498,2.3408,1,3.768
30.385,0,-0.0009145,2.3459,1,3.776
30.384,0,-0.00091404,2.352,1,3.784
30.384,0,-0.00091358,2.3583,1,3.792
30.384,0,-0.00091312,2.3647,1,3.8
30.384,6.9048e-24,-0.00091268,2.3723,1,3.808
30.384,-2.161e-23,-0.00091224,2.3799,1,3.816
30.383,2.3346e-23,-0.0009118,2.3878,1,3.824
30.383,2.0158e-24,-0.00091138,2.3967,1,3.832
30.383,-3.5819e-24,-0.00091095,2.4055,1,3.84
30.382,0,-0.00091053,2.415,1,3.848
30.382,0,-0.00091013,2.4252,1,3.856
30.382,0,-0.00090972,2.4354,1,3.864
30.382,0,-0.00090933,2.4465,1,3.872
30.381,0,-0.00090895,2.458,1,3.88
30.381,0,-0.00090857,2.4695,1,3.888
30.38,1.3962e-24,-0.00090821,2.4823,1,3.896
30.38,2.1771e-26,-0.00090785,2.4953,1,3.904
30.38,-3.2591e-24,-0.0009075,2.5084,1,3.912
30.379,-4.4447e-25,-0.00090716,2.5228,1,3.92
30.379,4.5434e-25,-0.00090681,2.5373,1,3.928
30.378,0,-0.00090647,2.5522,1,3.936
30.378,0,-0.00090614,2.5682,1,3.944
30.377,0,-0.0009058,2.5842,1,3.952
30.377,0,-0.00090547,2.6012,1,3.96
30.376,0,-0.00090514,2.6189,1,3.968
30.376,0,-0.00090481,2.6366,1,3.976
30.375,0,-0.00090448,2.6557,1,3.984
30.374,0,-0.00090415,2.6752,1,3.992
30.374,0,-0.00090383,2.6947,1,4
30.373,0,-0.00090347,2.7162,1,4.008
30.372,0,-0.00090311,2.7376,1,4.016
30.372,0,-0.00090275,2.7596,1,4.024
30.371,0,-0.00090236,2.7831,1,4.032
30.37,0,-0.00090197,2.8067,1,4.04
30.369,0,-0.00090157,2.8313,1,4.048
30.368,0,-0.00090115,2.8571,1,4.056
30.368,0,-0.00090074,2.8829,1,4.064
30.367,0,-0.00090032,2.9104,1,4.072
30.366,0,-0.0008999,2.9388,1,4.08
30.365,0,-0.00089948,2.9671,1,4.088
30.364,-1.1202e-25,-0.00089904,2.9978,1,4.096
30.363,-1.0651e-25,-0.0008986,3.0288,1,4.104
30.362,0,-0.00089816,3.0602,1,4.112
30.361,0,-0.0008977,3.0941,1,4.12
30.36,0,-0.00089725,3.1281,1,4.128
30.359,0,-0.00089679,3.1631,1,4.136
30.357,0,-0.00089633,3.2002,1,4.144
30.356,0,-0.00089587,3.2373,1,4.152
30.355,0,-0.0008954,3.2764,1,4.16
30.354,0,-0.00089493,3.317,1,4.168
30.352,0,-0.00089447,3.3576,1,4.176
30.351,0,-0.00089397,3.4011,1,4.184
30.349,0,-0.00089348,3.4455,1,4.192
30.348,0,-0.00089298,3.4898,1,4.2
30.346,0,-0.00089244,3.5382,1,4.208
30.345,0,-0.0008919,3.5866,1,4.216
30.343,0,-0.00089135,3.636,1,4.224
30.341,0,-0.00089078,3.6888,1,4.232
30.34,0,-0.00089021,3.7416,1,4.24
30.338,2.2451e-23,-0.00088963,3.7965,1,4.248
30.336,-7.4164e-25,-0.00088904,3.8541,1,4.256
30.334,-3.6114e-24,-0.00088845,3.9116,1,4.264
30.332,3.5813e-26,-0.00088785,3.9726,1,4.272
30.33,1.7752e-26,-0.00088724,4.0352,1,4.28
30.328,-7.0389e-26,-0.00088663,4.0978,1,4.288
30.326,0,-0.00088599,4.1653,1,4.296
